Técnica,Longitud,Resultados,Tiempo
Fuerza Bruta,6,1.25,4.506111145019531e-05
Fuerza Bruta,6,1.25,3.504753112792969e-05
Fuerza Bruta,6,1.25,3.1948089599609375e-05
Fuerza Bruta,6,1.25,3.266334533691406e-05
Fuerza Bruta,6,1.25,3.314018249511719e-05
Fuerza Bruta,8,0,3.695487976074219e-05
Fuerza Bruta,8,0,3.409385681152344e-05
Fuerza Bruta,8,0,3.314018249511719e-05
Fuerza Bruta,8,0,3.4809112548828125e-05
Fuerza Bruta,8,0,3.2901763916015625e-05
Fuerza Bruta,10,0,3.695487976074219e-05
Fuerza Bruta,10,0,3.695487976074219e-05
Fuerza Bruta,10,0,3.719329833984375e-05
Fuerza Bruta,10,0,3.5762786865234375e-05
Fuerza Bruta,10,0,3.600120544433594e-05
Fuerza Bruta,12,0,3.719329833984375e-05
Fuerza Bruta,12,0,3.886222839355469e-05
Fuerza Bruta,12,0,3.790855407714844e-05
Fuerza Bruta,12,0,3.719329833984375e-05
Fuerza Bruta,12,0,3.790855407714844e-05
Heurística,6,2.0,5.078315734863281e-05
Heurística,6,1.0,3.910064697265625e-05
Heurística,6,1.0,3.886222839355469e-05
Heurística,6,2.0,3.886222839355469e-05
Heurística,6,1.0,3.719329833984375e-05
Heurística,8,3.0,5.412101745605469e-05
Heurística,8,1.0,5.2928924560546875e-05
Heurística,8,6.0,5.1975250244140625e-05
Heurística,8,6.0,5.1975250244140625e-05
Heurística,8,6.0,5.1021575927734375e-05
Heurística,10,2.0,6.794929504394531e-05
Heurística,10,5.0,6.723403930664062e-05
Heurística,10,4.0,6.794929504394531e-05
Heurística,10,2.0,6.604194641113281e-05
Heurística,10,6.0,6.818771362304688e-05
Heurística,12,1.0,8.487701416015625e-05
Heurística,12,8.0,8.392333984375e-05
Heurística,12,7.0,8.273124694824219e-05
Heurística,12,0,8.416175842285156e-05
Heurística,12,0,8.392333984375e-05
Metaheurística,6,8.0,0.007551908493041992
Metaheurística,6,8.0,0.007823944091796875
Metaheurística,6,8.0,0.0067310333251953125
Metaheurística,6,8.0,0.00668787956237793
Metaheurística,6,8.0,0.006757974624633789
Metaheurística,8,10,0.0072193145751953125
Metaheurística,8,10,0.00716853141784668
Metaheurística,8,10,0.007258176803588867
Metaheurística,8,10,0.00725102424621582
Metaheurística,8,10,0.007208824157714844
Metaheurística,10,10,0.007655143737792969
Metaheurística,10,10,0.007652759552001953
Metaheurística,10,10,0.007678031921386719
Metaheurística,10,10,0.0077152252197265625
Metaheurística,10,10,0.0076677799224853516
Metaheurística,12,10,0.008170127868652344
Metaheurística,12,10,0.008256912231445312
Metaheurística,12,10,0.00819706916809082
Metaheurística,12,10,0.008193731307983398
Metaheurística,12,10,0.008065938949584961
